,GLd,QLd,SpToutHdr,Tair,RH
2018/8/23 22:00,0,0,7,26.8,91
2018/8/23 22:15,0,0,7,26.891667,91
2018/8/23 22:30,0,0,7,26.925,90
2018/8/23 22:45,0,0,7,27,90
2018/8/23 23:00,0,0,7,27.05,90
2018/8/23 23:15,0,0,7,27.1,90
2018/8/23 23:30,0,0,7,27.108333,90
2018/8/23 23:45,0,0,7,27.158333,90
2018/8/24 0:00,0,0,7,27.208333,90
2018/8/24 0:15,0,0,7,27.241667,90
2018/8/24 0:30,0,0,7,27.308333,90
2018/8/24 0:45,0,0,7,27.316667,90
2018/8/24 1:00,0,0,7,27.366667,89
2018/8/24 1:15,0,0,7,27.4,89
2018/8/24 1:30,0,0,7,27.4,89
2018/8/24 1:45,0,0,7,27.4,88
2018/8/24 2:00,0,0,7,27.408333,88
2018/8/24 2:15,0,0,7,27.416667,88
2018/8/24 2:30,0,0,7,27.483333,88
2018/8/24 2:45,0,0,7,27.5,88
2018/8/24 3:00,0,0,7,27.508333,88
2018/8/24 3:15,0,0,7,27.541667,88
2018/8/24 3:30,0,0,7,27.566667,87
2018/8/24 3:45,0,0,7,27.591667,87
2018/8/24 4:00,0,0,7,27.6,86
2018/8/24 4:15,0,0,7,27.6,86
2018/8/24 4:30,0,0,7,27.6,86
2018/8/24 4:45,0,0,7,27.6,85
2018/8/24 5:00,0,0,7,27.6,85
2018/8/24 5:15,0,0,7,27.675,85
2018/8/24 5:30,0,0,7,27.691667,84.5
2018/8/24 5:45,0,0,7,27.7,84
2018/8/24 6:00,0,0,7,27.7,84
2018/8/24 6:15,0,0,7,27.708333,85
2018/8/24 6:30,0,0,7,27.783333,85
2018/8/24 6:45,0,0,7,27.8,86
2018/8/24 7:00,0,0,7,27.8,87
2018/8/24 7:15,0,0,7,27.8,87
2018/8/24 7:30,0,0,7,27.825,87
2018/8/24 7:45,0,0,7,27.866667,89
2018/8/24 8:00,0,0,7,27.816667,89
2018/8/24 8:15,0,0,7,27.8,88
2018/8/24 8:30,0,0,7,27.8,88
2018/8/24 8:45,0,0,7,27.85,88
2018/8/24 9:00,0.16023,0.002262608,7,27.9,90
2018/8/24 9:15,0.177,0.007109452,7,28.2,89
2018/8/24 9:30,0.17707,0.006464012,7,28.4,88.083333
2018/8/24 9:45,0.17694,0.006354388,7,28.783333,86.666667
2018/8/24 10:00,0.17647,0.006269828,7,28.7,86.333333
2018/8/24 10:15,0.1763,0.00615314,7,28.7,87
2018/8/24 10:30,0.17621,0.005713784,7,28.416667,88
2018/8/24 10:45,0.17594,0.005594612,7,28.85,84.083333
2018/8/24 11:00,0.17599,0.005381432,7,29.183333,85.583333
2018/8/24 11:15,0.17605,0.005303472,7,28.9,87
2018/8/24 11:30,0.17599,0.005228028,7,29.308333,83.833333
2018/8/24 11:45,0.17587,0.005451348,7,29.9,81.25
2018/8/24 12:00,0.17599,0.005234164,7,29.5,84
2018/8/24 12:15,0.17613,0.005232188,7,29.3,84
2018/8/24 12:30,0.17599,0.005191212,7,29.9,83.5
2018/8/24 12:45,0.17552,0.005556776,7,29.841667,79.5
2018/8/24 13:00,0.17578,0.005319852,7,30.091667,79
2018/8/24 13:15,0.17566,0.005457088,7,30.1,78
2018/8/24 13:30,0.17552,0.004975396,7,29.8,79.25
2018/8/24 13:45,0.1756,0.004996032,7,29.625,80.583333
2018/8/24 14:00,0.17557,0.005062516,7,30.1,79
2018/8/24 14:15,0.17547,0.005065748,7,30.325,79.666667
2018/8/24 14:30,0.17534,0.005031428,7,30.4,78
2018/8/24 14:45,0.17534,0.005055884,7,30.541667,76.25
2018/8/24 15:00,0.17558,0.005001584,7,30.325,77
2018/8/24 15:15,0.17547,0.00502904,7,30.258333,76.75
2018/8/24 15:30,0.17526,0.005029132,7,30.066667,77.166667
2018/8/24 15:45,0.17544,0.00499148,7,29.75,77.75
2018/8/24 16:00,0.17517,0.004989904,7,29.55,80
2018/8/24 16:15,0.17551,0.005017948,7,29.591667,79.916667
2018/8/24 16:30,0.17508,0.00504228,7,29.608333,79
2018/8/24 16:45,0.17512,0.004982376,7,29.4,79.166667
2018/8/24 17:00,0.17511,0.005018724,7,29.3,80
2018/8/24 17:15,0.17538,0.005008116,7,29.2,81
2018/8/24 17:30,0.17487,0.005030136,7,29.091667,82
2018/8/24 17:45,0.17451,0.005025864,7,28.983333,82
2018/8/24 18:00,0.01457,0.0002864,7,28.7,82
2018/8/24 18:15,0,0,7,27.991667,35.916667
2018/8/24 18:30,0,0,7,27.566667,41.666667
2018/8/24 18:45,0,0,7,27.2,48
2018/8/24 19:00,0,0,7,26.908333,58.25
2018/8/24 19:15,0,0,7,26.7,61
2018/8/24 19:30,0,0,7,26.633333,67
2018/8/24 19:45,0,0,7,26.608333,72
2018/8/24 20:00,0,0,7,26.566667,72.583333
2018/8/24 20:15,0,0,7,26.566667,76
2018/8/24 20:30,0,0,7,26.583333,78.5
2018/8/24 20:45,0,0,7,26.6,78
2018/8/24 21:00,0,0,7,26.633333,79
2018/8/24 21:15,0,0,7,26.691667,78
2018/8/24 21:30,0,0,7,26.8,79
2018/8/24 21:45,0,0,7,26.8,79
2018/8/24 22:00,0,0,7,26.891667,80.75
2018/8/24 22:15,0,0,7,26.883333,81
2018/8/24 22:30,0,0,7,26.908333,81
2018/8/24 22:45,0,0,7,26.966667,81
2018/8/24 23:00,0,0,7,27,81
2018/8/24 23:15,0,0,7,27.075,81
2018/8/24 23:30,0,0,7,27.1,80
2018/8/24 23:45,0,0,7,27.125,79.166667
2018/8/25 0:00,0,0,7,27.275,81.833333
